date change,STATUS,voorveerkit,achterveerkit,combikit,MERK,TYPE,Year,FORK HYPERPRO NR,FORK HYPERPRO OIL,OILLEVEL,FORK SPRING PRELOAD,FORK STATIC SAG,FORK COMPRESION,FORK REBOUND,FORK EXTRA INFO,REAR HYPERPRO NR,REAR SPRING PRELOAD,REAR STATIC SAG,REAR COMPRESION,REAR REBOUND,REAR EXTRA INFO,PROD_EXTRA_INF,chassis nummer,eu nummer
2020-01-04,L,SP-AP06-SSA005,SP-AP06-SSB005,SP-AP06-SSC005,APRILIA,PEGASO 650 STRADA (45 MM FORK) 35 MM LOWER,05-09,1566,2X SAE 10,150 MM,NOT ADJUSTABLE,30 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,MOUNT FORK 40 MM THROUGH TRIPLE CLAMP (MEASURED ON THE OUTSIDE),0345,POS-1-3,50 MM,NOT ADJUSTABLE,15 CLICKS,,,VD,
2020-01-04,,SP-AP06-SSA006,,,APRILIA,PEGASO 650 TRAIL  (45 MM FORK),05-09,0596,2X SAE 10,150 MM,NOT ADJUSTABLE,30 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,remove the original 200mm preload bush,,,,,,,,VD,
2022-03-25,ud,,,,APRILIA,TUONO 660 factory,21-22,,,,,,,,,,,,,,,,,
2024-09-16,L,,SP-AP06-SSB009,,APRILIA,TUONO 660 20mm lower,21-24,0846,,,,,,,YES THE SPRING SHOULD BE 10-15 MM SHORTER THEN ORIGINAL,1856,5 MM,30 MM,NOT ADJUSTABLE,7 CLICKS OPEN,,,,E49*168/2013*00059*
2025-05-23,,SP-AP06-SSA010,,,APRILIA,TUAREG 660,21-25,1883,SAE 15,140 MM,2 Rings out,60 MM,5 Klicks open,5 klicks open,Mount the fork 2 rings through the tripletree,,,,,,,,,
2017-02-09,,SL-AP10-SSA026,,,APRILIA,SL 1000 FALCO LINEAR 9 N/mm,99-03,1283,SAE 10,160 MM,5 RINGS OUT,24 MM,1 (+/- 0.5) CLICKS OPEN,1.25 (+/- 0.5) CLICKS OPEN,,,,,,,,,,
2017-02-09,,SL-AP10-SSA025,,,APRILIA,"SL 1000 FALCO LINEAR 8,5 N/mm",99-03,1282,SAE 10,160 MM,5 RINGS OUT,24 MM,1 (+/- 0.5) CLICKS OPEN,1.25 (+/- 0.5) CLICKS OPEN,,,,,,,,,,
2017-02-09,,SL-AP10-SSA024,,,APRILIA,RSV MILLE TUONO LINEAR 10 N/mm,03-05,1285,SAE 10,160 MM,5 RINGS,22 MM,1 (+/- 0.5) T. OPEN,1 (+/- 0.5) T. OPEN,,,,,,,,,RP,
2017-02-09,,SL-AP10-SSA029,,,APRILIA,"RSV MILLE TUONO R LINEAR 8,5 N/mm",06-10,1282,SAE 10,140 MM,2-3 RINGS OUT,24 MM,"2 (+/-0,5) K. OPEN","1,5 (+/-0,5) K. OPEN",,,,,,,,,,
2017-02-09,,SL-AP10-SSA023,,,APRILIA,"RSV MILLE TUONO LINEAR 9,5 N/mm",03-05,1284,SAE 10,160 MM,5 RINGS,22 MM,1 (+/- 0.5) T. OPEN,1 (+/- 0.5) T. OPEN,,,,,,,,,RP,
2017-02-09,,SL-AP10-SSA022,,,APRILIA,RSV MILLE TUONO LINEAR 9 N/mm,03-05,1283,SAE 10,160 MM,5 RINGS,22 MM,1 (+/- 0.5) T. OPEN,1 (+/- 0.5) T. OPEN,,,,,,,,,RP,
,,SP-AP10-SSA006,SP-AP10-SSB006,SP-AP10-SSC006,APRILIA,RSV 1000 TUONO,03-05,0654,SAE 10,170 MM,5 RINGS,22 MM,1 (+/- 0.5) T. OPEN,1 (+/- 0.5) T. OPEN,,0179,10 MM,10 MM,12 (+/- 2) CLICKS OPEN,23 (+/- 3) CLICKS OPEN,,,,
2021-07-23,,SP-AP10-SSA009,SP-AP10-SSB009,SP-AP10-SSC009,APRILIA,RST 1000 FUTURA,01-03,0623,SAE 5,160 MM,5 RINGS,24 MM,NOT ADJUSTABLE,0.5 (+/- 0.5) T. OPEN,,0461,STANDARD,10 MM,NOT ADJUSTABLE,10 (+/-3) CLICKS OPEN,,,PW,
2017-02-09,,SL-AP10-SSA028,,,APRILIA,SL 1000 FALCO LINEAR 10 N/mm,99-03,1285,SAE 10,160 MM,5 RINGS OUT,24 MM,1 (+/- 0.5) CLICKS OPEN,1.25 (+/- 0.5) CLICKS OPEN,,,,,,,,,,
2017-02-09,,SP-AP10-SSA008,SP-AP10-SSB008,SP-AP10-SSC008,APRILIA,RSV 1000 MILLE R,04-10,1123,SAE 10,140 MM,4-5 RINGS OUT,24 MM,"2 (+/-0,5) K. OPEN","1,5 (+/-0,5)OPEN",,0462,14 MM,10 MM,"2 (+/-0,5) T. OPEN",15-20 K. OPEN,,,RR,e11*0093*
2017-02-09,,SL-AP10-SSA030,,,APRILIA,RSV MILLE TUONO R LINEAR 9 N/mm,06-10,1283,SAE 10,140 MM,3-4 RINGS OUT,24 MM,"2 (+/-0,5) K. OPEN","1,5 (+/-0,5) K. OPEN",,,,,,,,,,
,,SP-AP10-SSA007,SP-AP10-SSB007,SP-AP10-SSC007,APRILIA,RSV MILLE SP,99,0835,SAE 5,125 MM,--,24 MM,13 (+/-) CLCIKS OPEN,10 (+/-) CLICKS OPEN,,0461,17 MM,10 MM,20 (+/-5) CLICKS OPEN,20 (+/- 5) CLICKS OPEN,,,,
2017-02-09,,SL-AP10-SSA032,,,APRILIA,RSV MILLE TUONO R LINEAR 10 N/mm,06-10,1285,SAE 10,140 MM,4-5 RINGS OUT,24 MM,"2 (+/-0,5) K. OPEN","1,5 (+/-0,5) K. OPEN",,,,,,,,,,
2017-02-09,,SL-AP10-SSA031,,,APRILIA,"RSV MILLE TUONO R LINEAR 9,5 N/mm",06-10,1284,SAE 10,140 MM,4-5 RINGS OUT,24 MM,"2 (+/-0,5) K. OPEN","1,5 (+/-0,5) K. OPEN",,,,,,,,,,
2017-02-09,,SL-AP10-SSA021,,,APRILIA,"RSV MILLE TUONO LINEAR 8,5 N/mm",03-05,1282,SAE 10,160 MM,5 RINGS,22 MM,1 (+/- 0.5) T. OPEN,1 (+/- 0.5) T. OPEN,,,,,,,,,RP,
,,SL-AP10-SSA008,,,APRILIA,RSV 1000 MILLE R LINEAR 10 N/mm,00-03,1261,SAE 5,120 MM,9 TURNS FROM MAX.,22 MM,15 (+/-) ClICKS OPEN,15 (+/-) CLICKS OPEN,,,,,,,,,,
2017-02-09,,SL-AP10-SSA027,,,APRILIA,"SL 1000 FALCO LINEAR 9,5 N/mm",99-03,1284,SAE 10,160 MM,5 RINGS OUT,24 MM,1 (+/- 0.5) CLICKS OPEN,1.25 (+/- 0.5) CLICKS OPEN,,,,,,,,,,
,,SL-AP10-SSA005,,,APRILIA,"RSV 1000 MILLE R LINEAR 8,5 N/mm",00-03,1258,SAE 5,120 MM,9 TURNS FROM MAX.,22 MM,15 (+/-) ClICKS OPEN,15 (+/-) CLICKS OPEN,,,,,,,,,,
2014-03-21,L,SP-AP08-SSA003,,,APRILIA,NA 850 MANA 40MM LOWER (showa fork),08-11,0902,SAE 15,125 MM,NOT ADJUSTABLE,40 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,MOUNT THE FORK 20 MM THROUGH THE TRIPLE CLAMP,SHOCK,,,,,,,,
,,SP-AP10-SSA001,SP-AP10-SSB001,SP-AP10-SSC001,APRILIA,RSV 1000 MILLE,98-00,0654,SAE 10,170 MM,3 - 4 RINGS OUT,24 MM,2 (+/- 0.5) CLICKS OPEN,2 (+/- 5) CLICKS. OPEN,USE ORG 250 MM PRELOAD SECTION,0179,14 MM,12 MM,30 (+/-) CLICKS OPEN,13 (+/-4) CLICKS OPEN,,,ME,
2014-03-21,L,SP-AP08-SSA002,SP-AP08-SSB002,SP-AP08-SSC002,APRILIA,NA 850 MANA 25MM LOWER (showa fork),08-11,0902,SAE 15,125 MM,NOT ADJUSTABLE,40 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,MOUNT THE FORK 5 MM THROUGH THE TRIPLE CLAMP,0543 + BUMP,POS 1-2,30 MM,NOT ADJUASTABLE,12 K OPEN,REPLACE BUMPRUBBER WITH THE NEW ONE.,FOR REAR :HYPER BUMP MEELEVEREN SCHUIN INGESNEDEN,,
2017-02-09,,SP-AP10-SSA002,SP-AP10-SSB002,SP-AP10-SSC002,APRILIA,SL 1000 FALCO,99-03,0654,SAE 10,170 MM,6 RINGS OUT,24 MM,1 (+/- 0.5) CLICKS OPEN,1.25 (+/- 0.5) CLICKS OPEN,,0179,13 MM,12 MM,NOT ADJUSTABLE,8 (+/-) CLICKS OPEN,,,PA00,e11*92/61*00003
2014-03-21,,SP-AP08-SSA001,SP-AP08-SSB001,SP-AP08-SSC001,APRILIA,NA 850 MANA (showa fork),08-11,1023,SAE 15,125 MM,NOT ADJUSTABLE,24 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,1331,POS 1-2,10 MM,NOT ADJUASTABLE,12 K OPEN,,,RC,
,,SP-AP10-SSA003,SP-AP10-SSB003,SP-AP10-SSC003,APRILIA,RSV 1000 MILLE R,00-03,1090,"SAE 2,5",130 MM,9 TURNS FROM MAX.,22 MM,15 (+/-) ClICKS OPEN,15 (+/-) CLICKS OPEN,,0179,16 MM,10 MM,10 (+/- 5) CLICKS OPEN,30 (10+/-) CLICKS OPEN,,,ME,H 827
,,SP-AP10-SSA004,SP-AP10-SSB004,SP-AP10-SSC004,APRILIA,RSV 1000 MILLE,01-03,0654,SAE 10,170 MM,3 - 4 RINGS OUT,24 MM,2 (+/- 0.5) CLICKS OPEN,2 (+/- 0.5) CLICKS OPEN,USE ORG 250 MM PRELOAD SECTION + ORG 100 MM BUSH UNDER THE SPRING,0461,14 MM,12 MM,12 (+/- 4) CLICKS OPEN,55 - 65 CLICKS OPEN,,,RP,e11*00027
2021-07-23,,SP-AP10-SSA005,SP-AP10-SSB005,SP-AP10-SSC005,APRILIA,ETV 1000 CAPONORD  (also RALLY RAID),01-07,0825,2x SAE 20,245 MM,10 MM,40 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,"USE ORG 124,5 MM BUSH",1236,5 CLICKS,15 MM,NOT ADJUSTABLE,1 - 3 CLICKS OPEN,,,PS,e11*92/61*00031
2025-03-19,,SP-AP10-SSA014,,,APRILIA,RSV4 1000 RR,15-25,1606,SAE 10,120 MM,2-3 RINGS OUT,24 MM,4 CLICKS OPEN,8 CLICKS OPEN,MOUNT THE FORK 12MM THROUGH THE TRIPLE CLAMP (3 RINGS),,,,,,,,,
,,SL-AP10-SSA001,,,APRILIA,"RSV MILLE SP LINEAR 8,5 N/mm",99,1258,SAE 5,125 MM,--,24 MM,13 (+/-) CLCIKS OPEN,10 (+/-) CLICKS OPEN,,,,,,,,,,
,,SL-AP10-SSA002,,,APRILIA,RSV MILLE SP LINEAR 9 N/mm,99,1259,SAE 5,125 MM,--,24 MM,13 (+/-) CLCIKS OPEN,10 (+/-) CLICKS OPEN,,,,,,,,,,
2017-02-09,,SL-AP10-SSA010,,,APRILIA,RSV 1000 MILLE R LINEAR 9 N/mm,04-10,1283,SAE 10,140 MM,3 RINGS OUT,24 MM,"2 (+/-0,5) K. OPEN","1,5 (+/-0,5) K. OPEN",,,,,,,,,,
,,SL-AP10-SSA004,,,APRILIA,RSV MILLE SP LINEAR 10 N/mm,99,1261,SAE 5,125 MM,--,24 MM,13 (+/-) CLCIKS OPEN,10 (+/-) CLICKS OPEN,,,,,,,,,,
,,SL-AP10-SSA020,,,APRILIA,RSV 1000 MILLE LINEAR 10 N/mm,01-08,1285,SAE 10,160 MM,3 - 4 RINGS OUT,24 MM,2 (+/- 0.5) CLICKS OPEN,2 (+/- 0.5) CLICKS OPEN,USE ORG 250 MM PRELOAD SECTION + ORG 100 MM BUSH UNDER THE SPRING,,,,,,,,,
,,SL-AP10-SSA006,,,APRILIA,RSV 1000 MILLE R LINEAR 9 N/mm,00-03,1259,SAE 5,120 MM,9 TURNS FROM MAX.,22 MM,15 (+/-) ClICKS OPEN,15 (+/-) CLICKS OPEN,,,,,,,,,,
,,SL-AP10-SSA007,,,APRILIA,"RSV 1000 MILLE R LINEAR 9,5 N/mm",00-03,1260,SAE 5,120 MM,9 TURNS FROM MAX.,22 MM,15 (+/-) ClICKS OPEN,15 (+/-) CLICKS OPEN,,,,,,,,,,
,,SL-AP10-SSA016,,,APRILIA,RSV 1000 MILLE LINEAR 10 N/mm,98-00,1285,SAE 10,160 MM,3 - 4 RINGS OUT,24 MM,2 (+/- 0.5) CLICKS OPEN,2 (+/- 5) CLICKS. OPEN,USE ORG 250 MM PRELOAD SECTION,,,,,,,,ME,
2017-02-09,,SL-AP10-SSA009,,,APRILIA,"RSV 1000 MILLE R LINEAR 8,5 N/mm",04-10,1282,SAE 10,140 MM,2-3 RINGS OUT,24 MM,"2 (+/-0,5) K. OPEN","1,5 (+/-0,5) K. OPEN",,,,,,,,,,
2017-02-09,,SL-AP10-SSA011,,,APRILIA,"RSV 1000 MILLE R LINEAR 9,5 N/mm",04-10,1284,SAE 10,140 MM,3-4 RINGS OUT,24 MM,"2 (+/-0,5) K. OPEN","1,5 (+/-0,5) K. OPEN",,,,,,,,,,
2017-02-09,,SL-AP10-SSA012,,,APRILIA,RSV 1000 MILLE R LINEAR 10 N/mm,04-10,1285,SAE 10,140 MM,4-5 RINGS OUT,24 MM,"2 (+/-0,5) K. OPEN","1,5 (+/-0,5) K. OPEN",,,,,,,,,,
,,SL-AP10-SSA013,,,APRILIA,"RSV 1000 MILLE LINEAR 8,5 N/mm",98-00,1282,SAE 10,160 MM,3 - 4 RINGS OUT,24 MM,2 (+/- 0.5) CLICKS OPEN,2 (+/- 5) CLICKS. OPEN,USE ORG 250 MM PRELOAD SECTION,,,,,,,,ME,
2016-03-14,,SP-AP08-SSA004,,,APRILIA,SRV 850,12-14,1632,SAE 10,130 MM,NOT ADJUSTABLE,35-40 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,`,pos 1,,,,use hyperpro 36 springcup 0,,M55,
,,SL-AP10-SSA015,,,APRILIA,"RSV 1000 MILLE LINEAR 9,5 N/mm",98-00,1284,SAE 10,160 MM,3 - 4 RINGS OUT,24 MM,2 (+/- 0.5) CLICKS OPEN,2 (+/- 5) CLICKS. OPEN,USE ORG 250 MM PRELOAD SECTION,,,,,,,,ME,
,,SL-AP10-SSA017,,,APRILIA,"RSV 1000 MILLE LINEAR 8,5 N/mm",01-08,1282,SAE 10,160 MM,3 - 4 RINGS OUT,24 MM,2 (+/- 0.5) CLICKS OPEN,2 (+/- 0.5) CLICKS OPEN,USE ORG 250 MM PRELOAD SECTION + ORG 100 MM BUSH UNDER THE SPRING,,,,,,,,,
,,SL-AP10-SSA018,,,APRILIA,RSV 1000 MILLE LINEAR 9 N/mm,01-08,1283,SAE 10,160 MM,3 - 4 RINGS OUT,24 MM,2 (+/- 0.5) CLICKS OPEN,2 (+/- 0.5) CLICKS OPEN,USE ORG 250 MM PRELOAD SECTION + ORG 100 MM BUSH UNDER THE SPRING,,,,,,,,,
,,SL-AP10-SSA019,,,APRILIA,"RSV 1000 MILLE LINEAR 9,5 N/mm",01-08,1284,SAE 10,160 MM,3 - 4 RINGS OUT,24 MM,2 (+/- 0.5) CLICKS OPEN,2 (+/- 0.5) CLICKS OPEN,USE ORG 250 MM PRELOAD SECTION + ORG 100 MM BUSH UNDER THE SPRING,,,,,,,,,
,,SL-AP10-SSA003,,,APRILIA,"RSV MILLE SP LINEAR 9,5 N/mm",99,1260,SAE 5,125 MM,--,24 MM,13 (+/-) CLCIKS OPEN,10 (+/-) CLICKS OPEN,,,,,,,,,,
2020-11-18,,SP-AP09-SSA001,SP-AP09-SSB001,SP-AP09-SSC001,APRILIA,DORSODURO 900,17-20,1803,SAE 20,150 MM,2 RINGS OUT,30 MM,NOT ADJUSTABLE,8 KLICKS,LEFT FORK NEED TOOL HP-T57 TO UNDO THE CAP ON THE INNERTUBE,1295,10 MM,10 MM,NOT ADJUSTABLE,15-20 K OPEN,,LEFT FORK NEED TOOL HP-T57 TO UNDO THE CAP ON THE INNERTUBE,,
2021-07-23,,SP-AP10-SSA010,SP-AP10-SSB010,SP-AP10-SSC010,APRILIA,ETV 1000 CAPONORD,08-12,0825,2X SAE 20,245 MM,10 MM,40 MM,(RALLY RAID) 6 KLICKS LEFT,(RALLY RAID) 6 KLICKS RIGHT,USE ORIGINAL BUSHES,1236,12 CLICKS,15 MM,NOT ADJUSTABLE,1 - 3 CLICKS OPEN,,"needs 1,5 liter oil",PS,
2017-02-09,,SP-AP10-SSA011,SP-AP10-SSB011,SP-AP10-SSC011,APRILIA,RSV MILLE TUONO R,06-10,1123,SAE 10,140 MM,4-5 RINGS OUT,24 MM,"2 (+/-0,5) K. OPEN","1,5 (+/-0,5) K. OPEN",,0462,14 MM,10 MM,NOT ADJUSTABLE,15-20 K. OPEN,,,RR,e11*0093*
,,SL-AP10-SSA014,,,APRILIA,RSV 1000 MILLE LINEAR 9 N/mm,98-00,1283,SAE 10,160 MM,3 - 4 RINGS OUT,24 MM,2 (+/- 0.5) CLICKS OPEN,2 (+/- 5) CLICKS. OPEN,USE ORG 250 MM PRELOAD SECTION,,,,,,,,ME,
2021-09-13,,SP-AP10-SSA012,SP-AP10-SSB012,SP-AP10-SSC012,APRILIA,TUONO 1000 V4,11-14,1606,SAE 10,120 MM,2-3 RINGS OUT,24 MM,4 CLICKS OPEN,8 CLICKS OPEN,MOUNT THE FORK 12MM THROUGH THE TRIPLE CLAMP (3 RINGS),1376,10 MM,12 MM,2 TURNS,15 CLICKS OPEN,,,,
2017-03-20,,SP-AP10-SSA013,,,APRILIA,RSV4 1000 R,11-14,1606,SAE 10,120 MM,2-3 RINGS OUT,24 MM,4 CLICKS OPEN,8 CLICKS OPEN,MOUNT THE FORK 12MM THROUGH THE TRIPLE CLAMP (3 RINGS),,,,,,,,,
2021-02-03,,SP-AP08-SSA005,,,APRILIA,NA 850 MANA GT (showa fork),09-16,1023,SAE 15,125 MM,NOT ADJUSTABLE,24 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,,POS 1-2,10 MM,NOT ADJUASTABLE,12 K OPEN,,,,
2021-09-13,ud,,,,APRILIA,TUONO V4 1100,2021,,,,,,,,,,,,,,,,,
2021-09-21,,,SP-AP11-SSB002,,APRILIA,TUONO V4 1100 Factory,15-16,,,,,,,,,1376,10 MM,12 MM,2 TURNS,15 CLICKS OPEN,,,KG,e11*168/2013*00255*00
2021-09-21,,SP-AP11-SSA001,SP-AP11-SSB001,SP-AP11-SSC001,APRILIA,TUONO V4 1100 Factory,17-18,1390,"SAE 7,5",130 MM,5 Turns out,28 MM,6 CLICKS OPEN,6 CLICKS OPEN,MOUNT THE FORK 4MM THROUGH THE TRIPLE CLAMP (1 RING),1376,10 MM,12 MM,2 TURNS,15 CLICKS OPEN,,,KG,e11*168/2013*00255*00
2021-03-28,ud,,,,APRILIA,TUONO V4 1100 RR,15-21,,,,,,,,,,,,,,,,,
2020-06-30,UD,SP-AC,,,ARCES,35MM,,1415,,,,,,,,,,,,,,,,
